116.111602,40.112974|116.144237,40.145610
116.078967,40.080339|116.111602,40.112974
116.111602,40.080339|116.144237,40.112974
116.144237,40.112974|116.176873,40.145610
116.176873,40.112974|116.209508,40.145610
116.144237,40.080339|116.176873,40.112974
116.176873,40.080339|116.209508,40.112974
116.078967,40.015069|116.144237,40.080339
116.144237,40.047704|116.176873,40.080339
116.176873,40.047704|116.209508,40.080339
116.144237,40.015069|116.176873,40.047704
116.176873,40.015069|116.209508,40.047704
116.209508,40.243515|116.242143,40.276150
116.242143,40.243515|116.274778,40.276150
116.209508,40.227198|116.225825,40.243515
116.225825,40.227198|116.242143,40.243515
116.209508,40.219039|116.217667,40.227198
116.217667,40.219039|116.225825,40.227198
116.209508,40.210880|116.217667,40.219039
116.217667,40.210880|116.225825,40.219039
116.225825,40.219039|116.233984,40.227198
116.233984,40.219039|116.242143,40.227198
116.225825,40.210880|116.233984,40.219039
116.233984,40.210880|116.242143,40.219039
116.242143,40.227198|116.258460,40.243515
116.258460,40.227198|116.274778,40.243515
116.242143,40.210880|116.258460,40.227198
116.258460,40.210880|116.274778,40.227198
116.274778,40.210880|116.340048,40.276150
116.209508,40.194562|116.225825,40.210880
116.225825,40.202721|116.233984,40.210880
116.233984,40.202721|116.242143,40.210880
116.225825,40.194562|116.233984,40.202721
116.233984,40.194562|116.242143,40.202721
116.209508,40.178245|116.225825,40.194562
116.225825,40.178245|116.242143,40.194562
116.242143,40.194562|116.258460,40.210880
116.258460,40.194562|116.274778,40.210880
116.242143,40.178245|116.258460,40.194562
116.258460,40.178245|116.274778,40.194562
116.209508,40.145610|116.242143,40.178245
116.242143,40.161927|116.258460,40.178245
116.258460,40.161927|116.274778,40.178245
116.242143,40.145610|116.258460,40.161927
116.258460,40.145610|116.274778,40.161927
116.274778,40.178245|116.307413,40.210880
116.307413,40.178245|116.340048,40.210880
116.274778,40.161927|116.291096,40.178245
116.291096,40.161927|116.307413,40.178245
116.274778,40.145610|116.291096,40.161927
116.291096,40.145610|116.307413,40.161927
116.307413,40.145610|116.340048,40.178245
116.340048,40.210880|116.405319,40.276150
116.405319,40.210880|116.470589,40.276150
116.340048,40.178245|116.372684,40.210880
116.372684,40.178245|116.405319,40.210880
116.340048,40.145610|116.372684,40.178245
116.372684,40.145610|116.405319,40.178245
116.405319,40.178245|116.437954,40.210880
116.437954,40.178245|116.470589,40.210880
116.405319,40.145610|116.437954,40.178245
116.437954,40.145610|116.470589,40.178245
116.209508,40.112974|116.242143,40.145610
116.242143,40.112974|116.274778,40.145610
116.209508,40.080339|116.242143,40.112974
116.242143,40.080339|116.274778,40.112974
116.274778,40.112974|116.307413,40.145610
116.307413,40.112974|116.340048,40.145610
116.274778,40.096657|116.291096,40.112974
116.291096,40.096657|116.307413,40.112974
116.274778,40.080339|116.291096,40.096657
116.291096,40.080339|116.307413,40.096657
116.307413,40.096657|116.323731,40.112974
116.323731,40.096657|116.340048,40.112974
116.307413,40.080339|116.323731,40.096657
116.323731,40.080339|116.340048,40.096657
116.209508,40.064022|116.225825,40.080339
116.225825,40.064022|116.242143,40.080339
116.209508,40.047704|116.225825,40.064022
116.225825,40.047704|116.242143,40.064022
116.242143,40.064022|116.258460,40.080339
116.258460,40.064022|116.274778,40.080339
116.242143,40.047704|116.258460,40.064022
116.258460,40.047704|116.274778,40.064022
116.209508,40.015069|116.242143,40.047704
116.242143,40.031387|116.258460,40.047704
116.258460,40.031387|116.274778,40.047704
116.242143,40.015069|116.258460,40.031387
116.258460,40.015069|116.274778,40.031387
116.274778,40.064022|116.291096,40.080339
116.291096,40.064022|116.307413,40.080339
116.274778,40.047704|116.291096,40.064022
116.291096,40.047704|116.307413,40.064022
116.307413,40.072181|116.315572,40.080339
116.315572,40.072181|116.323731,40.080339
116.307413,40.064022|116.315572,40.072181
116.315572,40.064022|116.323731,40.072181
116.323731,40.072181|116.331890,40.080339
116.331890,40.072181|116.340048,40.080339
116.323731,40.064022|116.331890,40.072181
116.331890,40.064022|116.340048,40.072181
116.307413,40.047704|116.323731,40.064022
116.323731,40.055863|116.331890,40.064022
116.331890,40.055863|116.340048,40.064022
116.323731,40.047704|116.331890,40.055863
116.331890,40.047704|116.340048,40.055863
116.274778,40.031387|116.291096,40.047704
116.291096,40.039545|116.299254,40.047704
116.299254,40.039545|116.307413,40.047704
116.291096,40.031387|116.299254,40.039545
116.299254,40.031387|116.307413,40.039545
116.274778,40.023228|116.282937,40.031387
116.282937,40.023228|116.291096,40.031387
116.274778,40.015069|116.282937,40.023228
116.282937,40.015069|116.291096,40.023228
116.291096,40.015069|116.307413,40.031387
116.307413,40.039545|116.315572,40.047704
116.315572,40.039545|116.323731,40.047704
116.307413,40.031387|116.315572,40.039545
116.315572,40.031387|116.323731,40.039545
116.323731,40.039545|116.331890,40.047704
116.331890,40.039545|116.340048,40.047704
116.323731,40.031387|116.331890,40.039545
116.331890,40.031387|116.340048,40.039545
116.307413,40.023228|116.315572,40.031387
116.315572,40.023228|116.323731,40.031387
116.307413,40.015069|116.315572,40.023228
116.315572,40.015069|116.323731,40.023228
116.323731,40.023228|116.331890,40.031387
116.331890,40.023228|116.340048,40.031387
116.323731,40.015069|116.331890,40.023228
116.331890,40.015069|116.340048,40.023228
116.340048,40.112974|116.372684,40.145610
116.372684,40.112974|116.405319,40.145610
116.340048,40.096657|116.356366,40.112974
116.356366,40.096657|116.372684,40.112974
116.340048,40.080339|116.356366,40.096657
116.356366,40.080339|116.372684,40.096657
116.372684,40.096657|116.389001,40.112974
116.389001,40.096657|116.405319,40.112974
116.372684,40.080339|116.389001,40.096657
116.389001,40.080339|116.405319,40.096657
116.405319,40.129292|116.421636,40.145610
116.421636,40.129292|116.437954,40.145610
116.405319,40.112974|116.421636,40.129292
116.421636,40.112974|116.437954,40.129292
116.437954,40.112974|116.470589,40.145610
116.405319,40.096657|116.421636,40.112974
116.421636,40.096657|116.437954,40.112974
116.405319,40.080339|116.421636,40.096657
116.421636,40.080339|116.437954,40.096657
116.437954,40.080339|116.470589,40.112974
116.340048,40.064022|116.356366,40.080339
116.356366,40.064022|116.372684,40.080339
116.340048,40.047704|116.356366,40.064022
116.356366,40.047704|116.372684,40.064022
116.372684,40.064022|116.389001,40.080339
116.389001,40.064022|116.405319,40.080339
116.372684,40.047704|116.389001,40.064022
116.389001,40.047704|116.405319,40.064022
116.340048,40.039545|116.348207,40.047704
116.348207,40.039545|116.356366,40.047704
116.340048,40.031387|116.348207,40.039545
116.348207,40.031387|116.356366,40.039545
116.356366,40.031387|116.372684,40.047704
116.340048,40.015069|116.356366,40.031387
116.356366,40.015069|116.372684,40.031387
116.372684,40.015069|116.405319,40.047704
116.405319,40.072181|116.413477,40.080339
116.413477,40.072181|116.421636,40.080339
116.405319,40.064022|116.413477,40.072181
116.413477,40.064022|116.421636,40.072181
116.421636,40.064022|116.437954,40.080339
116.405319,40.055863|116.413477,40.064022
116.413477,40.055863|116.421636,40.064022
116.405319,40.047704|116.413477,40.055863
116.413477,40.047704|116.421636,40.055863
116.421636,40.047704|116.437954,40.064022
116.437954,40.047704|116.470589,40.080339
116.405319,40.039545|116.413477,40.047704
116.413477,40.039545|116.421636,40.047704
116.405319,40.031387|116.413477,40.039545
116.413477,40.031387|116.421636,40.039545
116.421636,40.031387|116.437954,40.047704
116.405319,40.015069|116.421636,40.031387
116.421636,40.015069|116.437954,40.031387
116.437954,40.031387|116.454271,40.047704
116.454271,40.031387|116.470589,40.047704
116.437954,40.015069|116.454271,40.031387
116.454271,40.015069|116.470589,40.031387
116.470589,40.798313|116.731670,41.059394
116.731670,40.798313|116.992752,41.059394
116.470589,40.667772|116.601130,40.798313
116.601130,40.667772|116.731670,40.798313
116.470589,40.537231|116.601130,40.667772
116.601130,40.537231|116.731670,40.667772
116.731670,40.667772|116.862211,40.798313
116.862211,40.667772|116.992751,40.798313
116.731670,40.537231|116.862211,40.667772
116.862211,40.537231|116.992751,40.667772
116.992751,40.667772|117.123292,40.798313
117.123292,40.667772|117.253833,40.798313
116.992751,40.537231|117.123292,40.667772
117.123292,40.602502|117.188562,40.667772
117.188562,40.602502|117.253833,40.667772
117.123292,40.537231|117.188562,40.602502
117.188562,40.537231|117.253833,40.602502
117.253833,40.667772|117.384373,40.798313
117.384373,40.667772|117.514914,40.798313
117.253833,40.635137|117.286468,40.667772
117.286468,40.635137|117.319103,40.667772
117.253833,40.602502|117.286468,40.635137
117.286468,40.602502|117.319103,40.635137
117.319103,40.602502|117.384373,40.667772
117.253833,40.537231|117.319103,40.602502
117.319103,40.537231|117.384373,40.602502
117.384373,40.537231|117.514914,40.667772
116.470589,40.406691|116.601130,40.537231
116.601130,40.471961|116.666400,40.537231
116.666400,40.471961|116.731670,40.537231
116.601130,40.406691|116.666400,40.471961
116.666400,40.406691|116.731670,40.471961
116.470589,40.341421|116.535859,40.406691
116.535859,40.341421|116.601130,40.406691
116.470589,40.276150|116.535859,40.341421
116.535859,40.276150|116.601130,40.341421
116.601130,40.374056|116.633765,40.406691
116.633765,40.374056|116.666400,40.406691
116.601130,40.341421|116.633765,40.374056
116.633765,40.341421|116.666400,40.374056
116.666400,40.374056|116.699035,40.406691
116.699035,40.374056|116.731670,40.406691
116.666400,40.357738|116.682718,40.374056
116.682718,40.357738|116.699035,40.374056
116.666400,40.341421|116.682718,40.357738
116.682718,40.341421|116.699035,40.357738
116.699035,40.341421|116.731670,40.374056
116.601130,40.325103|116.617447,40.341421
116.617447,40.325103|116.633765,40.341421
116.601130,40.308785|116.617447,40.325103
116.617447,40.316944|116.625606,40.325103
116.625606,40.316944|116.633765,40.325103
116.617447,40.308785|116.625606,40.316944
116.625606,40.308785|116.633765,40.316944
116.633765,40.333262|116.641924,40.341421
116.641924,40.333262|116.650082,40.341421
116.633765,40.325103|116.641924,40.333262
116.641924,40.325103|116.650082,40.333262
116.650082,40.325103|116.666400,40.341421
116.633765,40.316944|116.641924,40.325103
116.641924,40.316944|116.650082,40.325103
116.633765,40.308785|116.641924,40.316944
116.641924,40.308785|116.650082,40.316944
116.650082,40.308785|116.666400,40.325103
116.601130,40.276150|116.633765,40.308785
116.633765,40.292468|116.650082,40.308785
